Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,34776,-,-,-,59.25,-154.62,-9,699,-9,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,Dew Point,DHI,DNI,GHI,Relative Humidity,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,13,30,-31.1,1,-31.1,30,733,134,100,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,14,30,-30.9,0,-30.9,27,697,113,100,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,15,30,-31.4,7,-31.4,26,168,39,100,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,16,30,-32,1,-32,0,0,0,100,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,17,30,-32.5,7,-32.5,0,0,0,100,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,18,30,-32.8,7,-32.8,0,0,0,100,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,19,30,-33,7,-33,0,0,0,100,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,20,30,-33,7,-33,0,0,0,100,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,21,30,-33,7,-33,0,0,0,100,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,22,30,-33.1,7,-33.1,0,0,0,100,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,23,30,-33,7,-33,0,0,0,100,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,0,30,-32.8,7,-32.8,0,0,0,100,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,1,30,-32.6,7,-32.6,0,0,0,100,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,2,30,-32.3,7,-32.3,0,0,0,100,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,3,30,-32.1,7,-32.1,0,0,0,100,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,4,30,-31.6,7,-31.7,0,0,0,99.38,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,5,30,-31,7,-32,0,0,0,91.24,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,6,30,-30.5,7,-32.3,0,0,0,84.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,7,30,-30,7,-32.3,0,0,0,80.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,8,30,-29.5,7,-32.2,0,0,0,77.53,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,9,30,-28.9,7,-32,0,0,0,74.49,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,10,30,-28.1,7,-31.9,6,0,6,70.13,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,11,30,-27,7,-31.6,31,70,37,64.71,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,12,30,-25.6,7,-31.2,48,95,60,59.66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,13,30,-24.3,7,-30.5,25,0,25,56.35,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,14,30,-23.7,7,-30.1,45,40,50,55.39,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,15,30,-23.3,7,-30.3,27,21,28,52.77,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,16,30,-23.6,7,-30.4,0,0,0,53.41,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,17,30,-23.7,7,-30.2,0,0,0,54.85,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,18,30,-23.6,7,-29.7,0,0,0,57.38,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,19,30,-23.4,7,-29,0,0,0,59.93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
